geneset,stage1,stage2,stage3,stage4
SE20715_0H_VS_6H_OZONE_TLR4_KO_LUNG_UP,0.105913566,-0.090299943,-0.09167126,0.245332293
GSE20715_0H_VS_6H_OZONE_TLR4_KO_LUNG_DN,0.308951976,-0.056735222,-0.449746001,-0.199172768
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_UP,0.106427581,-0.338236949,0.108232918,0.251324189
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_DN,-0.086102145,0.171565414,-0.016255104,-0.457301861
GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_UP,0.132439957,0.206612119,-0.006326396,-0.130192659
GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_DN,0.010736174,-0.11490658,0.027757195,-0.270652292
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_DN,0.598,-0.430697303,-0.191719953,0.182720085
GSE20715_WT_VS_TLR4_KO_LUNG_UP,0.245,-0.202765849,-0.06618192,0.369385181
GSE20715_WT_VS_TLR4_KO_LUNG_DN,-0.164,0.39859553,-0.038001291,0.131896689
GSE20715_WT_VS_TLR4_KO_6H_OZONE_LUNG_UP,0.352,-0.115729404,-0.290623468,-0.017741997
GSE20715_WT_VS_TLR4_KO_6H_OZONE_LUNG_DN,0.73,-0.371470127,-0.404562435,0.186761768
GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_UP,0.185,-0.4914287,-0.779962379,0.233600939
GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_DN,0.0879,-0.223070119,0.000404298,-0.082277345
GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_UP,-0.313,-0.463865845,0.35310093,0.411067914
GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_DN,-0.38,-0.043710816,-0.035971223,0.216500949
GSE22886_CD8_TCELL_VS_BCELL_NAIVE_UP,-0.257,-0.042816308,0.452626027,0.529790716
GSE22886_CD8_TCELL_VS_BCELL_NAIVE_DN,0.699,0.107766273,-0.570062243,-0.474204339
GSE22886_CD4_TCELL_VS_BCELL_NAIVE_UP,-0.0778,-0.412476898,0.491897245,0.521505707
GSE22886_CD4_TCELL_VS_BCELL_NAIVE_DN,0.67,0.03465251,-0.608427318,-0.323536423
GSE22886_NAIVE_VS_IGG_IGA_MEMORY_BCELL_UP,0.166,0.052888628,-0.176656462,0.507452365
GSE22886_NAIVE_VS_IGG_IGA_MEMORY_BCELL_DN,-0.0914,-0.083832415,0.249510142,-0.311789602
GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_UP,0.331,-0.255497337,-0.460016193,0.698223139
GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_DN,-0.23,-0.257850479,0.295930886,-0.203195664
GSE22886_IGA_VS_IGM_MEMORY_BCELL_UP,0.331,-0.118201636,-0.715527372,0.639138004
GSE22886_IGA_VS_IGM_MEMORY_BCELL_DN,0.302,-0.083821204,0.083308963,0.203839716
GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_UP,0.423,-0.279974771,0.29757095,-0.037026763
GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_DN,-0.197,0.632948033,0.069642601,0.188906531
GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_UP,0.423,-0.479145763,0.40487794,-0.200617021
GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_DN,0.13,-0.1488367,0.327365489,0.268574309
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP,0.463,-0.286688519,-0.181266667,0.353815704
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN,0.726,-0.462388334,0.24121877,-0.094477248
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP,-0.536,0.023994591,0.219560675,0.289991689
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN,0.225,-0.435673822,-0.125172104,0.21750575
GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP,0.307,-0.342138581,-0.083971898,0.377009863
GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN,-0.276,0.405083655,0.076858486,-0.122018075
GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP,-0.323,-0.103751461,-0.00112968,0.084152974
GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN,0.589,0.373465229,0.115583383,-0.372404905
GSE27786_LIN_NEG_VS_BCELL_UP,-0.343049729,-0.185786836,-0.41575662,0.485021523
GSE27786_LIN_NEG_VS_BCELL_DN,-0.346167142,0.264184706,-0.101199088,0.130630557
GSE2826_WT_VS_BTK_KO_BCELL_UP,0.231987965,0.154443529,-0.404810865,0.273556091
GSE2826_WT_VS_BTK_KO_BCELL_DN,0.547437179,-0.145648313,0.081879312,-0.388334929
GSE2826_XID_VS_BTK_KO_BCELL_UP,-0.51092335,0.007696948,0.108426819,0.090585254
GSE2826_XID_VS_BTK_KO_BCELL_DN,0.018181395,-0.20609319,-0.326387602,0.383154804
GSE29618_BCELL_VS_MONOCYTE_UP,-0.015127971,-0.03254144,-0.15219924,-0.054037409
GSE29618_BCELL_VS_MONOCYTE_DN,-0.093126084,-0.176716478,0.245684543,-0.324055427
GSE29618_BCELL_VS_PDC_UP,0.07798797,-0.027958728,-0.33411705,0.411706495
GSE29618_BCELL_VS_PDC_DN,0.077120442,0.159707825,0.089245585,-0.157171573
GSE29618_BCELL_VS_MDC_UP,0.12731497,-0.171166827,0.092183136,0.155273127
GSE29618_BCELL_VS_MDC_DN,0.155283268,-0.206656606,0.331476641,-0.075942525
